Weekday,Day,Week_Number,Month,Year
Tuesday,01/01/2019,1,January,2019
Wednesday,02/01/2019,1,January,2019
Thursday,03/01/2019,1,January,2019
Friday,04/01/2019,1,January,2019
Saturday,05/01/2019,1,January,2019
Sunday,06/01/2019,1,January,2019
Monday,07/01/2019,2,January,2019
Tuesday,08/01/2019,2,January,2019
Wednesday,09/01/2019,2,January,2019
Thursday,10/01/2019,2,January,2019
Friday,11/01/2019,2,January,2019
Saturday,12/01/2019,2,January,2019
Sunday,13/01/2019,2,January,2019
Monday,14/01/2019,3,January,2019
Tuesday,15/01/2019,3,January,2019
Wednesday,16/01/2019,3,January,2019
Thursday,17/01/2019,3,January,2019
Friday,18/01/2019,3,January,2019
Saturday,19/01/2019,3,January,2019
Sunday,20/01/2019,3,January,2019
Monday,21/01/2019,4,January,2019
Tuesday,22/01/2019,4,January,2019
Wednesday,23/01/2019,4,January,2019
Thursday,24/01/2019,4,January,2019
Friday,25/01/2019,4,January,2019
Saturday,26/01/2019,4,January,2019
Sunday,27/01/2019,4,January,2019
Monday,28/01/2019,5,January,2019
Tuesday,29/01/2019,5,January,2019
Wednesday,30/01/2019,5,January,2019
Thursday,31/01/2019,5,January,2019
Friday,01/02/2019,5,February,2019
Saturday,02/02/2019,5,February,2019
Sunday,03/02/2019,5,February,2019
Monday,04/02/2019,6,February,2019
Tuesday,05/02/2019,6,February,2019
Wednesday,06/02/2019,6,February,2019
Thursday,07/02/2019,6,February,2019
Friday,08/02/2019,6,February,2019
Saturday,09/02/2019,6,February,2019
Sunday,10/02/2019,6,February,2019
Monday,11/02/2019,7,February,2019
Tuesday,12/02/2019,7,February,2019
Wednesday,13/02/2019,7,February,2019
Thursday,14/02/2019,7,February,2019
Friday,15/02/2019,7,February,2019
Saturday,16/02/2019,7,February,2019
Sunday,17/02/2019,7,February,2019
Monday,18/02/2019,8,February,2019
Tuesday,19/02/2019,8,February,2019
Wednesday,20/02/2019,8,February,2019
Thursday,21/02/2019,8,February,2019
Friday,22/02/2019,8,February,2019
Saturday,23/02/2019,8,February,2019
Sunday,24/02/2019,8,February,2019
Monday,25/02/2019,9,February,2019
Tuesday,26/02/2019,9,February,2019
Wednesday,27/02/2019,9,February,2019
Thursday,28/02/2019,9,February,2019
Friday,01/03/2019,9,March,2019
Saturday,02/03/2019,9,March,2019
Sunday,03/03/2019,9,March,2019
Monday,04/03/2019,10,March,2019
Tuesday,05/03/2019,10,March,2019
Wednesday,06/03/2019,10,March,2019
Thursday,07/03/2019,10,March,2019
Friday,08/03/2019,10,March,2019
Saturday,09/03/2019,10,March,2019
Sunday,10/03/2019,10,March,2019
Monday,11/03/2019,11,March,2019
Tuesday,12/03/2019,11,March,2019
Wednesday,13/03/2019,11,March,2019
Thursday,14/03/2019,11,March,2019
Friday,15/03/2019,11,March,2019
Saturday,16/03/2019,11,March,2019
Sunday,17/03/2019,11,March,2019
Monday,18/03/2019,12,March,2019
Tuesday,19/03/2019,12,March,2019
Wednesday,20/03/2019,12,March,2019
Thursday,21/03/2019,12,March,2019
Friday,22/03/2019,12,March,2019
Saturday,23/03/2019,12,March,2019
Sunday,24/03/2019,12,March,2019
Monday,25/03/2019,13,March,2019
Tuesday,26/03/2019,13,March,2019
Wednesday,27/03/2019,13,March,2019
