"Popular Rate","Nationality","Reservations","Percentage of Popular Rate Reservations","Total Reservations","Percentage of Popular Rate per Total Reservations"
"Early - 60 days","Unknown","76","16.63%","1096","3.04%"
"Fully Flexible","GB","40","8.75%","187","1.60%"
"Fully Flexible","DE","26","5.69%","154","1.04%"
"Fully Flexible","US","26","5.69%","243","1.04%"
"Fully Flexible","IT","15","3.28%","48","0.60%"
"Fully Flexible","FR","14","3.06%","46","0.56%"
"Fully Flexible","CZ","14","3.06%","67","0.56%"
"Fully Flexible","SK","14","3.06%","72","0.56%"
"Fully Flexible","RU","12","2.63%","51","0.48%"
"Fully Flexible","CN","11","2.41%","59","0.44%"
"Fully Flexible","IL","10","2.19%","39","0.40%"
"Fully Flexible","AT","9","1.97%","17","0.36%"
"Fully Flexible","NL","9","1.97%","23","0.36%"
"Fully Flexible","SE","8","1.75%","25","0.32%"
"Early - 60 days","TH","8","1.75%","16","0.32%"
"Fully Flexible","IE","8","1.75%","10","0.32%"
"Fully Flexible","CA","8","1.75%","27","0.32%"
"Fully Flexible","KR","8","1.75%","15","0.32%"
"Fully Flexible","AU","7","1.53%","24","0.28%"
"Fully Flexible","DK","7","1.53%","13","0.28%"
"Fully Flexible","ID","6","1.31%","7","0.24%"
"Fully Flexible","BE","6","1.31%","13","0.24%"
"Fully Flexible","SA","6","1.31%","15","0.24%"
"Fully Flexible","CH","6","1.31%","18","0.24%"
"Early - 21 days","NO","6","1.31%","17","0.24%"
"Fully Flexible","MX","5","1.09%","18","0.20%"
"Fully Flexible","PL","5","1.09%","15","0.20%"
"Fully Flexible","IN","5","1.09%","10","0.20%"
"Fully Flexible","AE","4","0.88%","9","0.16%"
"Fully Flexible","BR","4","0.88%","11","0.16%"
"Fully Flexible","ES","4","0.88%","18","0.16%"
"Fully Flexible","LU","4","0.88%","6","0.16%"
"Fully Flexible","PR","4","0.88%","4","0.16%"
"Min 4 nights","QA","4","0.88%","6","0.16%"
"Fully Flexible","KW","3","0.66%","8","0.12%"
"Early - 21 days","SG","3","0.66%","10","0.12%"
"Fully Flexible","TR","3","0.66%","4","0.12%"
"Fully Flexible","TW","3","0.66%","7","0.12%"
"Fully Flexible","HK","3","0.66%","5","0.12%"
"Fully Flexible","JP","3","0.66%","11","0.12%"
"Fully Flexible","BY","3","0.66%","4","0.12%"
"Fully Flexible","RO","2","0.44%","3","0.08%"
"Fully Flexible","DO","2","0.44%","2","0.08%"
"Fully Flexible","NZ","2","0.44%","4","0.08%"
"Early - 21 days","PH","2","0.44%","3","0.08%"
"Fully Flexible","AR","2","0.44%","2","0.08%"
"Fully Flexible","LB","2","0.44%","3","0.08%"
"Fully Flexible","UA","2","0.44%","3","0.08%"
"Fully Flexible","SC","1","0.22%","1","0.04%"
"Fully Flexible","BH","1","0.22%","2","0.04%"
"Fully Flexible","BG","1","0.22%","2","0.04%"
"Min 3 nights","SY","1","0.22%","1","0.04%"
"Fully Flexible","AS","1","0.22%","1","0.04%"
"Fully Flexible","TJ","1","0.22%","1","0.04%"
"Early - 60 days","HU","1","0.22%","3","0.04%"
"Fully Flexible","IQ","1","0.22%","1","0.04%"
"Fully Flexible","IS","1","0.22%","2","0.04%"
"Min 3 nights","IR","1","0.22%","1","0.04%"
"Fully Flexible","JO","1","0.22%","1","0.04%"
"Min 3 nights","GR","1","0.22%","1","0.04%"
"Non Refundable BAR BB","LT","1","0.22%","1","0.04%"
"Fully Flexible","MC","1","0.22%","1","0.04%"
"Fully Flexible","MT","1","0.22%","2","0.04%"
"Early - 60 days","FI","1","0.22%","3","0.04%"
"Min 3 nights","MY","1","0.22%","3","0.04%"
"Fully Flexible","EE","1","0.22%","1","0.04%"
"Fully Flexible","PE","1","0.22%","1","0.04%"
"Min 4 nights","CR","1","0.22%","1","0.04%"
"Fully Flexible","PT","1","0.22%","1","0.04%"
"Min 3 nights","AL","1","0.22%","1","0.04%"
"Fully Flexible","CL","1","0.22%","1","0.04%"
