"created_year_reservation","created_month_reservation","start_year_reservation","start_month_reservation","rate_name","age_group","gender","nationality_code","total_reservations"
"2019","9","2020","4","Early - 60 days",0,"undefined","Unknown","76"
"2019","10","2020","1","Early - 60 days",0,"undefined","Unknown","54"
"2019","9","2019","12","Early - 60 days",0,"undefined","Unknown","51"
"2019","10","2019","11","Early - 21 days",0,"undefined","Unknown","44"
"2019","10","2020","4","Early - 60 days",0,"undefined","Unknown","39"
"2019","8","2019","12","Early - 60 days",0,"undefined","Unknown","33"
"2019","9","2020","3","Early - 60 days",0,"undefined","Unknown","30"
"2019","8","2019","8","Fully Flexible",0,"male","Unknown","27"
"2019","8","2019","11","Early - 60 days",0,"undefined","Unknown","25"
"2019","9","2019","10","Fully Flexible",0,"undefined","Unknown","21"
"2019","9","2020","7","Fully Flexible",0,"male","GB","20"
"2019","9","2019","11","Early - 21 days",0,"undefined","Unknown","19"
"2019","9","2019","12","Fully Flexible",0,"male","Unknown","19"
"2019","8","2020","5","Fully Flexible",0,"male","Unknown","18"
"2019","10","2020","3","Early - 60 days",0,"undefined","Unknown","16"
"2019","9","2019","11","Fully Flexible",0,"undefined","Unknown","16"
"2019","9","2019","10","Early - 21 days",0,"male","Unknown","16"
"2019","9","2019","10","Early - 21 days",0,"undefined","Unknown","15"
"2019","9","2019","10","Fully Flexible",0,"male","Unknown","15"
"2019","8","2019","11","Fully Flexible",0,"undefined","DE","15"
"2019","9","2020","9","Early - 60 days",0,"undefined","Unknown","15"
"2019","10","2019","11","Fully Flexible",0,"male","Unknown","14"
"2019","9","2019","9","Fully Flexible",0,"undefined","Unknown","14"
"2019","8","2020","1","Fully Flexible",0,"undefined","DE","14"
"2019","8","2019","10","Early - 21 days",0,"undefined","Unknown","14"
"2019","8","2019","9","Fully Flexible",0,"undefined","Unknown","14"
"2019","8","2020","1","Early - 60 days",0,"undefined","Unknown","14"
"2019","8","2020","2","Fully Flexible",0,"undefined","DE","13"
"2019","10","2019","10","Non Refundable BAR BB",0,"undefined","Unknown","13"
"2019","10","2019","12","Fully Flexible",0,"male","Unknown","13"
"2019","8","2019","8","Fully Flexible",35,"male","US","12"
"2019","10","2019","11","Early - 21 days",0,"male","Unknown","12"
"2019","8","2019","8","Fully Flexible",0,"undefined","Unknown","12"
"2019","8","2020","5","Fully Flexible",0,"male","CN","11"
"2019","9","2019","11","Early - 21 days",0,"male","Unknown","11"
"2019","9","2019","11","Early - 60 days",0,"male","Unknown","11"
"2019","9","2020","6","Fully Flexible",0,"male","Unknown","11"
"2019","9","2020","1","Early - 60 days",0,"undefined","Unknown","10"
"2019","8","2019","10","Fully Flexible",0,"undefined","Unknown","10"
"2019","9","2020","2","Early - 60 days",0,"undefined","Unknown","10"
"2019","10","2019","10","Fully Flexible",0,"undefined","Unknown","9"
"2019","8","2019","11","Fully Flexible",0,"undefined","Unknown","9"
"2019","8","2019","12","Fully Flexible",0,"undefined","Unknown","9"
"2019","10","2020","2","Early - 60 days",0,"undefined","Unknown","9"
"2019","8","2019","10","Early - 60 days",0,"undefined","Unknown","9"
"2019","10","2019","12","Early - 60 days",0,"male","Unknown","9"
"2019","8","2019","10","Fully Flexible",0,"male","Unknown","9"
"2019","10","2019","10","Min 3 nights",0,"undefined","Unknown","8"
"2019","8","2020","4","Early - 60 days",0,"male","TH","8"
"2019","10","2019","10","Fully Flexible",0,"male","Unknown","8"
"2019","8","2020","2","Fully Flexible",0,"undefined","CZ","8"
"2019","8","2019","9","Fully Flexible",0,"male","Unknown","8"
"2019","8","2020","4","Fully Flexible",0,"male","Unknown","8"
"2019","8","2019","9","Early - 21 days",0,"undefined","Unknown","7"
"2019","10","2019","12","Early - 60 days",0,"undefined","Unknown","7"
"2019","8","2020","6","Fully Flexible",0,"male","Unknown","7"
"2019","9","2019","9","Fully Flexible",0,"male","Unknown","7"
"2019","9","2019","11","Early - 60 days",0,"undefined","Unknown","7"
"2019","9","2019","12","Early - 60 days",0,"male","Unknown","7"
"2019","8","2019","11","Fully Flexible",0,"male","Unknown","7"
"2019","8","2019","8","Fully Flexible",45,"male","CZ","7"
"2019","8","2020","5","Fully Flexible",0,"undefined","Unknown","6"
"2019","9","2019","10","Early - 21 days",0,"male","NO","6"
"2019","8","2020","1","Fully Flexible",0,"undefined","CZ","6"
"2019","9","2020","5","Early - 60 days",0,"undefined","GB","6"
"2019","10","2019","12","Early - 21 days",0,"male","Unknown","6"
"2019","8","2019","10","Early - 21 days",0,"male","CN","6"
"2019","9","2019","10","Fully Flexible",0,"male","ID","6"
"2019","9","2020","5","Fully Flexible",0,"male","Unknown","6"
"2019","9","2019","11","Fully Flexible",65,"male","SK","5"
"2019","8","2019","8","Non Refundable BAR BB",25,"male","US","5"
