"Nationality","Total Reservations","Average Daily Rate","Average Length of Stay","Average Occupancy per Booking","Revenue per Space Unit","Profitability Rank"
"ID","7","211.736","2.0","3.1","741.076","MOST PROFITABLE"
"BY","4","266.375","1.5","2.3","228.322","AVERAGE"
"AE","9","247.303","3.2","6.0","199.216","AVERAGE"
"DE","154","229.096","1.9","3.2","191.128","AVERAGE"
"CZ","67","217.382","1.6","2.3","189.981","AVERAGE"
"KW","8","251.602","3.9","6.5","185.706","AVERAGE"
"DO","2","260.386","2.0","4.0","173.591","AVERAGE"
"MT","2","330.242","3.0","5.5","165.121","AVERAGE"
"LU","6","307.500","1.8","2.3","161.072","AVERAGE"
"CN","59","216.375","1.9","3.3","147.768","AVERAGE"
"PT","1","294.037","1.0","1.0","147.019","AVERAGE"
"HK","5","186.787","2.2","4.0","146.761","AVERAGE"
"CL","1","282.268","2.0","6.0","141.134","AVERAGE"
"SA","15","222.519","3.1","5.1","140.217","AVERAGE"
"AT","17","266.662","1.9","3.5","137.632","AVERAGE"
"Unknown","1096","167.807","2.9","4.9","132.339","AVERAGE"
"BE","13","275.515","2.2","4.2","130.753","AVERAGE"
"DK","13","231.563","2.4","4.6","130.517","AVERAGE"
"JO","1","258.317","1.0","1.0","129.159","AVERAGE"
"SG","10","236.543","3.8","7.5","124.842","AVERAGE"
"CH","18","209.189","2.3","4.0","123.746","AVERAGE"
"PL","15","219.344","2.1","3.3","123.630","AVERAGE"
"IL","39","226.431","3.6","7.5","113.619","AVERAGE"
"HU","3","209.715","2.3","4.0","112.923","AVERAGE"
"IN","10","190.044","2.5","4.7","110.491","AVERAGE"
"MX","18","234.363","2.5","4.5","109.858","AVERAGE"
"UA","3","218.159","2.0","4.0","109.080","AVERAGE"
"AR","2","216.829","3.0","6.0","108.415","AVERAGE"
"TR","4","169.682","2.5","5.0","106.051","AVERAGE"
"GR","1","209.353","3.0","6.0","104.677","AVERAGE"
"ES","18","184.601","2.4","4.8","104.445","AVERAGE"
"FR","46","211.682","2.2","4.0","104.277","AVERAGE"
"QA","6","196.950","4.5","7.3","102.262","AVERAGE"
"NO","17","202.174","2.8","5.5","101.087","AVERAGE"
"KR","15","165.726","2.6","4.9","100.990","AVERAGE"
"PE","1","197.857","1.0","2.0","98.928","AVERAGE"
"RU","51","217.046","2.1","3.5","98.575","AVERAGE"
"US","243","211.821","2.9","5.1","97.699","AVERAGE"
"BR","11","183.600","3.3","6.7","97.200","AVERAGE"
"IT","48","214.617","2.2","4.1","96.894","AVERAGE"
"CR","1","191.934","3.0","6.0","95.967","AVERAGE"
"SE","25","200.281","2.2","4.2","94.149","AVERAGE"
"GB","187","186.948","2.7","4.4","93.755","AVERAGE"
"JP","11","210.559","2.1","3.5","93.132","AVERAGE"
"TW","7","186.273","2.1","4.0","90.132","AVERAGE"
"IE","10","214.265","3.3","5.8","89.503","AVERAGE"
"LB","3","202.531","2.0","4.0","86.799","AVERAGE"
"PH","3","192.746","2.7","5.3","85.665","AVERAGE"
"CA","27","198.543","2.3","4.3","85.090","AVERAGE"
"EE","1","160.483","1.0","1.0","80.242","AVERAGE"
"AU","24","194.164","3.0","4.9","79.228","AVERAGE"
"TH","16","166.043","2.3","4.3","78.764","AVERAGE"
"NL","23","176.171","2.3","3.6","78.298","AVERAGE"
"PR","4","174.540","4.0","6.0","77.573","AVERAGE"
"NZ","4","198.635","1.8","4.5","77.247","AVERAGE"
"IS","2","163.357","2.0","3.5","72.603","AVERAGE"
"RO","3","144.602","1.3","2.0","72.301","AVERAGE"
"MY","3","165.065","3.0","6.0","70.742","AVERAGE"
"BG","2","157.407","2.0","4.0","69.959","AVERAGE"
"LT","1","136.555","2.0","4.0","68.277","AVERAGE"
"IQ","1","194.895","2.0","6.0","64.965","AVERAGE"
"TJ","1","111.613","5.0","5.0","55.807","AVERAGE"
"SC","1","164.299","3.0","6.0","54.766","AVERAGE"
"SK","72","102.001","2.3","2.8","51.001","AVERAGE"
"SY","1","98.987","3.0","6.0","49.493","AVERAGE"
"IR","1","90.764","3.0","6.0","45.382","AVERAGE"
"FI","3","84.515","2.3","4.7","42.258","AVERAGE"
"AL","1","73.227","3.0","6.0","36.613","LEAST PROFITABLE"
